title," Jesus Pagan ""artist""",youtube_link
Aguajera, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
CONTIGO, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Casi Siempre, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Cerca de Ti, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
DIA DE BODA, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
ESTA CARTA, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
El Yaco, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Ella hablaba de mi, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
En Puertorro SE Goza Mas, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Entre Lagrimas Del Cielo, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
La Rumba, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
MAGNA CUM LAUDE, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Mi  San Valentin, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Ritmo Sabroso, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
SALSA_DE_LA_MATA, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Son Asuntos, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Te Amo Tanto, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Tengo Que Regresar, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
Tributo A La Salsa De Ayer, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
UN REGALO ESPECIAL, Jesus Pagan,https://www.youtube.com/watch?v=L89nN03pBzI
